buildingid X Y Z
24 904.7 1601.27 18
25 866.71 1599.42 18
25 868.55 1593.16 18
25 871.04 1593.88 18
25 872.44 1588.96 18
25 848.3 1582 18
25 845.07 1593.17 18
25 866.71 1599.42 18
26 904.7 1601.27 18
26 901.64 1611.77 18
26 900.58 1611.46 18
26 904.49 1615.47 18
26 913.96 1606.48 18
26 906.83 1599.22 18
26 904.7 1601.27 18
27 747.53 1717.36 24
27 709 1701.43 24
27 704.16 1713.2 24
27 742.69 1729.13 24
27 747.53 1717.36 24
28 749.4 1705.11 24
28 752.41 1696.27 24
28 749.15 1695.13 24
28 748.45 1697.37 24
28 735.3 1692.8 24
28 734.42 1695.6 24
28 725.51 1692.6 24
28 724.88 1694.28 24
28 718.36 1692.1 24
28 716.24 1698.26 24
28 749.42 1709.66 24
28 750.84 1705.63 24
28 749.4 1705.11 24
29 713.13 1695.67 5
29 706.81 1693.72 5
29 705.49 1697.97 5
29 711.81 1699.92 5
29 713.13 1695.67 5
30 717.81 1685.13 5
30 711.65 1682.28 5
30 709.94 1686.1 5
30 716.1 1688.94 5
30 717.81 1685.13 5
31 709.19 1675.24 5
31 702 1673.09 5
31 690.8 1711.3 5
31 697.99 1713.57 5
31 709.19 1675.24 5
32 687.57 1707.5 5
32 675.61 1704.35 5
32 673.78 1711.16 5
32 685.75 1714.31 5
32 687.57 1707.5 5
33 568.6 1683.97 5
33 559.68 1677.19 5
33 553.52 1685.33 5
33 562.44 1692.11 5
33 568.6 1683.97 5
34 586.33 1685.54 5
34 571.82 1672.13 5
34 565.99 1678.48 5
34 580.5 1691.9 5
34 586.33 1685.54 5
35 616.51 1694.69 5
35 606.54 1684.05 5
35 597.62 1692.37 5
35 607.59 1703 5
35 616.51 1694.69 5
36 602.88 1685.81 5
36 579.22 1664.18 5
36 573.12 1670.88 5
36 596.77 1692.5 5
36 602.88 1685.81 5
37 610.89 1679.29 5
37 607.37 1675.82 5
37 603.67 1679.57 5
37 607.18 1683.04 5
37 610.89 1679.29 5
38 606.46 1673.62 5
38 593.64 1659.39 5
38 586.02 1666.24 5
38 598.84 1680.47 5
38 606.46 1673.62 5
39 641.54 1710.84 5
39 640.26 1705.21 5
39 636.76 1705.96 5
39 635.26 1699.23 5
39 625.52 1701.35 5
39 628.4 1713.82 5
39 641.54 1710.84 5
40 655.45 1704.17 5
40 654.48 1695.99 5
40 649.64 1696.55 5
40 649.3 1694.23 5
40 635.46 1695.89 5
40 636.3 1702.64 5
40 641.32 1702.08 5
40 641.8 1705.84 5
40 655.45 1704.17 5
41 670.4 1709.14 5
41 670.09 1704.48 5
41 655 1705.41 5
41 655.31 1710.06 5
41 670.4 1709.14 5
42 670.52 1702.7 5
42 668.2 1686.11 5
42 656.74 1687.72 5
42 659.06 1704.31 5
42 670.52 1702.7 5
43 689.64 1688.14 5
43 684.1 1686.95 5
43 682.06 1696.54 5
43 687.61 1697.73 5
43 689.64 1688.14 5
44 681.04 1697.67 5
44 680.39 1686.81 5
44 670.9 1687.38 5
44 671.55 1698.23 5
44 681.04 1697.67 5
45 697.31 1679.08 5
45 691.46 1677.11 5
45 688.19 1686.85 5
45 694.04 1688.81 5
45 697.31 1679.08 5
46 690.41 1677.14 5
46 679.59 1674.07 5
46 676.71 1684.35 5
46 687.53 1687.42 5
46 690.41 1677.14 5
47 675.85 1684.15 5
47 679.06 1671.98 5
47 682.7 1672.89 5
47 683.82 1668.64 5
47 668.59 1664.13 5
47 664.16 1680.66 5
47 675.85 1684.15 5
48 694.71 1670.49 5
48 684.65 1667.62 5
48 683 1673.55 5
48 693.05 1676.41 5
48 694.71 1670.49 5
49 635.24 1698.34 5
49 634.5 1691.7 5
49 630.42 1692.13 5
49 631.16 1698.77 5
49 635.24 1698.34 5
50 630.38 1698.01 5
50 627.05 1690.55 5
50 619.63 1693.95 5
50 622.95 1701.3 5
50 630.38 1698.01 5
51 616.36 1692.58 5
51 628.55 1689.51 5
51 629.07 1691.61 5
51 664.22 1682.77 5
51 661.47 1671.85 5
51 620.56 1682.05 5
51 621.09 1684.37 5
51 614.67 1685.96 5
51 616.36 1692.58 5
52 636.03 1677.35 5
52 634.05 1670.63 5
52 625.84 1673.04 5
52 627.82 1679.76 5
52 636.03 1677.35 5
53 619.58 1680.85 5
53 618.9 1676.65 5
53 613.6 1677.56 5
53 614.28 1681.76 5
53 619.58 1680.85 5
54 621.56 1672.93 5
54 611.98 1655.07 5
54 601.66 1660.53 5
54 611.24 1678.39 5
54 621.56 1672.93 5
55 586.91 1656.45 5
55 583.76 1655.75 5
55 582.3 1662.11 5
55 585.46 1662.81 5
55 586.91 1656.45 5
56 591.02 1660.9 5
56 592.43 1656.54 5
56 596.36 1657.78 5
56 597.77 1653.41 5
56 601.41 1654.55 5
56 603.62 1647.83 5
56 592.02 1644.01 5
56 586.99 1659.56 5
56 591.02 1660.9 5
57 548.18 1606.77 5
57 544.2 1603.65 5
57 540.43 1608.51 5
57 544.41 1611.63 5
57 548.18 1606.77 5
58 551.33 1599.81 5
58 548.52 1597.77 5
58 544.66 1602.97 5
58 547.47 1605.01 5
58 551.33 1599.81 5
59 499.91 1619.57 5
59 437.52 1608.71 5
59 435.78 1618.52 5
59 492.73 1628.51 5
59 491.82 1633.97 5
59 497.27 1634.95 5
59 499.91 1619.57 5
60 510.25 1622.1 5
60 500.88 1620.33 5
60 497.78 1636.39 5
60 507.14 1638.16 5
60 510.25 1622.1 5
61 520.36 1608.54 5
61 513.87 1607.7 5
61 513.01 1614.6 5
61 519.49 1615.45 5
61 520.36 1608.54 5
62 563.43 1511.51 5
62 531.08 1507.29 5
62 529.89 1516.42 5
62 546.11 1518.47 5
62 545.86 1520.03 5
62 562.08 1522.09 5
62 563.43 1511.51 5
63 564.38 1504.28 5
63 533.45 1499.57 5
63 532.88 1503.36 5
63 563.82 1508.07 5
63 564.38 1504.28 5
64 592.85 1494.5 5
64 576.12 1483.58 5
64 568.07 1495.98 5
64 579.19 1503.26 5
64 574.89 1509.8 5
64 580.5 1513.44 5
64 592.85 1494.5 5
65 585.28 1518.1 5
65 576.46 1511.54 5
65 564.32 1527.92 5
65 573.15 1534.48 5
65 585.28 1518.1 5
66 599.33 1487.46 5
66 559.77 1457.66 5
66 553.43 1466.36 5
66 594.2 1495.02 5
66 599.33 1487.46 5
67 552.04 1452.85 5
67 519.51 1430.64 5
67 513.82 1438.88 5
67 546.16 1460.98 5
67 552.04 1452.85 5
68 552.04 1452.85 5
68 546.16 1460.98 5
68 552.64 1465.38 5
68 558.33 1457.14 5
68 552.04 1452.85 5
69 515.96 1429.51 5
69 483.45 1408.07 5
69 478.32 1415.62 5
69 510.55 1437.18 5
69 515.96 1429.51 5
70 511.65 1520.96 5
70 512.14 1517.84 5
70 516.63 1518.62 5
70 518.53 1507.36 5
70 464.36 1497.98 5
70 461.87 1512.35 5
70 511.65 1520.96 5
71 462.68 1499.35 5
71 456.47 1498.27 5
71 454.9 1507.52 5
71 461.11 1508.6 5
71 462.68 1499.35 5
72 522.44 1481.96 5
72 480.43 1475.74 5
72 478.98 1485.76 5
72 514.5 1491.03 5
72 514.17 1493.26 5
72 520.66 1494.22 5
72 522.44 1481.96 5
73 468.83 1494.21 5
73 471.67 1479.05 5
73 473.77 1479.44 5
73 474.78 1474.09 5
73 464.74 1472.22 5
73 460.89 1492.73 5
73 468.83 1494.21 5
74 517.15 1453.56 5
74 487.91 1448.37 5
74 484.68 1466.87 5
74 513.72 1472.07 5
74 517.15 1453.56 5
75 517.15 1453.56 5
75 513.72 1472.07 5
75 529.68 1474.91 5
75 532.92 1456.41 5
75 517.15 1453.56 5
76 485.49 1450.31 5
76 474.13 1448.91 5
76 472.56 1461.71 5
76 483.91 1463.11 5
76 485.49 1450.31 5
77 454.96 1476.44 5
77 445.22 1475 5
77 442.71 1492.37 5
77 452.45 1493.81 5
77 454.96 1476.44 5
78 465.49 1445.89 5
78 458.98 1444.16 5
78 446.8 1473.52 5
78 457.9 1476.26 5
78 465.49 1445.89 5
79 474.7 1445.01 5
79 469.05 1443.81 5
79 464.85 1461.56 5
79 470.49 1462.76 5
79 474.7 1445.01 5
80 549.68 1468.45 5
80 536.79 1466.64 5
80 534.45 1486.79 5
80 544.86 1488.32 5
80 544.46 1491.43 5
80 567.83 1494.1 5
80 569.31 1481.08 5
80 548.51 1478.68 5
80 549.68 1468.45 5
81 521.02 1422.95 5
81 530.49 1428.72 5
81 537.01 1419.36 5
81 528.29 1413.46 5
81 521.02 1422.95 5
82 580.76 1426.87 5
82 565.9 1418.78 5
82 561.64 1426.65 5
82 576.49 1434.74 5
82 580.76 1426.87 5
83 521.02 1422.95 5
83 528.29 1413.46 5
83 537.01 1419.36 5
83 530.49 1428.72 5
83 554.06 1442.93 5
83 558.63 1435.38 5
83 555.24 1433.24 5
83 562.02 1423.09 5
83 503.28 1387.74 5
83 492.43 1405.75 5
83 521.02 1422.95 5
84 606.4 1462.66 5
84 580.02 1446.2 5
84 571.88 1459.15 5
84 598.27 1475.62 5
84 606.4 1462.66 5
85 596.64 1441.81 5
85 588.91 1436.99 5
85 585.53 1442.4 5
85 593.26 1447.21 5
85 596.64 1441.81 5
86 621.51 1443.77 5
86 612.43 1438.21 5
86 591.95 1425.6 5
86 588.11 1431.91 5
86 600 1439.17 5
86 597.81 1442.89 5
86 605.64 1447.69 5
86 615.49 1453.67 5
86 621.42 1443.88 5
86 621.51 1443.77 5
87 634.94 1418.37 5
87 627.6 1413.99 5
87 620.12 1426.38 5
87 602.34 1415.7 5
87 597.87 1423.02 5
87 615.64 1433.7 5
87 619.31 1435.94 5
87 625.43 1425.81 5
87 630.16 1428.69 5
87 635.9 1419.01 5
87 634.94 1418.37 5
88 594.34 1418.78 5
88 587.2 1414.84 5
88 582.93 1422.6 5
88 590.07 1426.53 5
88 594.34 1418.78 5
89 584.46 1415.46 5
89 552.07 1394.8 5
89 546.31 1403.82 5
89 578.7 1424.47 5
89 584.46 1415.46 5
90 554.61 1389.86 5
90 546.38 1384.28 5
90 545.28 1385.75 5
90 514.87 1368.49 5
90 515.7 1367.25 5
90 509.32 1363.29 5
90 500.24 1376.49 5
90 508.27 1381.85 5
90 509.55 1379.82 5
90 545.89 1402.16 5
90 554.61 1389.86 5
91 563.46 1364.24 15
91 554.67 1358.78 15
91 541.51 1379.96 15
91 553.01 1387.12 15
91 564.8 1368.2 15
91 566.17 1365.95 15
91 563.46 1364.24 15
92 539.04 1339.28 5
92 533.34 1335.87 5
92 525.96 1348.36 5
92 550.68 1362.98 5
92 555.97 1354.09 5
92 536.95 1342.88 5
92 539.04 1339.28 5
93 534.48 1332.18 5
93 530.14 1329.61 5
93 517.2 1351.78 5
93 521.55 1354.34 5
93 534.48 1332.18 5
94 561.7 1340.19 5
94 544.07 1327.51 5
94 539.48 1333.95 5
94 557.11 1346.63 5
94 561.7 1340.19 5
95 657.48 1362.56 5
95 636.19 1363.29 5
95 636.71 1375.93 5
95 657.99 1375.09 5
95 657.48 1362.56 5
96 657.25 1357.35 5
96 656.79 1346.82 5
96 635.51 1347.66 5
96 635.97 1358.3 5
96 657.25 1357.35 5
97 657.48 1362.56 5
97 657.25 1357.35 5
97 635.97 1358.3 5
97 636.19 1363.29 5
97 657.48 1362.56 5
98 630.26 1376.75 5
98 629.97 1369.21 5
98 591.2 1370.57 5
98 591.49 1378.11 5
98 630.26 1376.75 5
99 603.74 1328.88 5
99 602.27 1319.82 5
99 569.78 1324.91 5
99 571.25 1333.98 5
99 603.74 1328.88 5
100 563.88 1321.05 5
100 562.62 1308.99 5
100 555.6 1309.7 5
100 556.86 1321.77 5
100 563.88 1321.05 5
101 583.61 1319.15 5
101 581.6 1307.65 5
101 564.08 1310.62 5
101 566.09 1322.11 5
101 583.61 1319.15 5
102 594.97 1316.99 5
102 592.57 1305.06 5
102 582.17 1307.42 5
102 584.57 1319.35 5
102 594.97 1316.99 5
103 607.1 1315.48 5
103 604.39 1302.23 5
103 593.03 1304.5 5
103 595.75 1317.75 5
103 607.1 1315.48 5
104 617.91 1317.78 5
104 617.24 1314.02 5
104 605.5 1316.19 5
104 606.17 1319.94 5
104 617.91 1317.78 5
105 618.08 1313.12 5
105 615.46 1300.3 5
105 604.96 1302.44 5
105 607.57 1315.25 5
105 618.08 1313.12 5
106 622.34 1312.35 5
106 620.12 1299.97 5
106 615.95 1300.74 5
106 618.17 1313.11 5
106 622.34 1312.35 5
107 628.89 1304.54 5
107 627.98 1298.79 5
107 620.59 1299.96 5
107 621.5 1305.71 5
107 628.89 1304.54 5
108 640.78 1304.81 5
108 639.44 1296.96 5
108 629.03 1298.76 5
108 630.37 1306.61 5
108 640.78 1304.81 5
109 649.27 1305.61 5
109 648.74 1292.3 5
109 640.85 1292.6 5
109 641.38 1305.91 5
109 649.27 1305.61 5
110 661.08 1302.55 5
110 660.45 1292.69 5
110 650.1 1293.38 5
110 650.82 1303.24 5
110 661.08 1302.55 5
111 674.41 1307.01 5
111 673.6 1301.26 5
111 659.38 1303.26 5
111 660.2 1309.01 5
111 674.41 1307.01 5
112 668.35 1300.49 5
112 667.82 1290.96 5
112 661.27 1291.34 5
112 661.8 1300.87 5
112 668.35 1300.49 5
113 680.39 1298.99 5
113 679.85 1289.01 5
113 669.02 1289.6 5
113 669.56 1299.58 5
113 680.39 1298.99 5
114 564.67 1307.49 5
114 562.96 1296.44 5
114 554.72 1297.96 5
114 556.43 1309.02 5
114 564.67 1307.49 5
115 580.15 1306.57 5
115 578.01 1293.75 5
115 563.52 1296.09 5
115 565.66 1308.91 5
115 580.15 1306.57 5
116 592.38 1305.07 5
116 589.73 1290.59 5
116 577.98 1292.42 5
116 580.63 1306.9 5
116 592.38 1305.07 5
117 597.19 1303.29 5
117 595.72 1294.33 5
117 591.55 1294.99 5
117 593.02 1303.94 5
117 597.19 1303.29 5
118 604.56 1301.45 5
118 603.25 1295.04 5
118 596.34 1296.43 5
118 597.65 1302.83 5
118 604.56 1301.45 5
119 615.64 1299.74 5
119 614.13 1292.57 5
119 603.72 1294.7 5
119 605.23 1301.88 5
119 615.64 1299.74 5
120 614.77 1291.89 5
120 613.46 1285.15 5
120 601.82 1287.42 5
120 603.13 1294.16 5
120 614.77 1291.89 5
121 602.53 1292.73 5
121 600.51 1280.68 5
121 588.95 1282.62 5
121 590.97 1294.67 5
121 602.53 1292.73 5
122 620.57 1298.96 5
122 620.1 1295.75 5
122 615.75 1296.41 5
122 616.3 1299.62 5
122 620.57 1298.96 5
123 628.33 1294.01 5
123 626.68 1281.39 5
123 615.11 1282.89 5
123 616.77 1295.5 5
123 628.33 1294.01 5
124 638.31 1293.77 5
124 637.82 1289.34 5
124 628.14 1290.35 5
124 628.91 1297.88 5
124 634.69 1297.3 5
124 634.33 1294.2 5
124 638.31 1293.77 5
125 639.24 1288.98 5
125 638.39 1278.23 5
125 627.19 1279.05 5
125 628.04 1289.8 5
125 639.24 1288.98 5
126 661.15 1290.46 5
126 660.48 1279.04 5
126 640.44 1280.18 5
126 641.11 1291.6 5
126 661.15 1290.46 5
127 671.57 1285.21 5
127 671 1277.68 5
127 660.94 1278.48 5
127 661.51 1286.01 5
127 671.57 1285.21 5
128 680.68 1288.22 5
128 679.4 1275.15 5
128 671.43 1275.9 5
128 672.71 1288.96 5
128 680.68 1288.22 5
129 692.41 1289.16 5
129 681.56 1289.19 5
129 681.66 1303.95 5
129 692.5 1303.92 5
129 692.41 1289.16 5
130 679.32 1309.11 5
130 670.38 1309.1 5
130 670.45 1330.74 5
130 679.39 1330.75 5
130 679.32 1309.11 5
131 701.75 1286.27 5
131 700.85 1273.42 5
131 694.58 1273.79 5
131 694.27 1269.14 5
131 685.25 1269.8 5
131 686.46 1287.3 5
131 701.75 1286.27 5
132 685.46 1285.44 5
132 684.54 1267.93 5
132 679.7 1268.15 5
132 680.62 1285.67 5
132 685.46 1285.44 5
133 714.65 1277.64 5
133 713.42 1263.03 5
133 703.55 1263.82 5
133 704.78 1278.43 5
133 714.65 1277.64 5
134 715.55 1286.61 5
134 714.99 1279.63 5
134 703.22 1280.58 5
134 703.78 1287.56 5
134 715.55 1286.61 5
135 721.6 1285.36 5
135 719.97 1266.31 5
135 714.75 1266.77 5
135 716.38 1285.81 5
135 721.6 1285.36 5
136 730.61 1280.59 5
136 729.4 1266.97 5
136 720.96 1267.73 5
136 722.16 1281.35 5
136 730.61 1280.59 5
137 738.38 1279.63 5
137 737.82 1268.88 5
137 730.41 1269.28 5
137 730.97 1280.03 5
137 738.38 1279.63 5
138 567.54 1293.22 5
138 567.17 1286.35 5
138 559.57 1286.75 5
138 559.94 1293.62 5
138 567.54 1293.22 5
139 571.94 1287.01 5
139 568.33 1287.1 5
139 568.4 1293.42 5
139 572.01 1293.34 5
139 571.94 1287.01 5
140 576.81 1291.45 5
140 575.94 1279.59 5
140 563.98 1280.43 5
140 564.41 1286.08 5
140 572.66 1285.44 5
140 573.11 1291.76 5
140 576.81 1291.45 5
141 588.66 1289.73 5
141 587.68 1281.43 5
141 577.26 1282.78 5
141 578.23 1290.97 5
141 588.66 1289.73 5
142 584.83 1281.27 5
142 584.29 1275.18 5
142 576.98 1275.8 5
142 577.52 1281.89 5
142 584.83 1281.27 5
143 568 1270.57 5
143 563.63 1270.67 5
143 563.86 1279.66 5
143 568.23 1279.55 5
143 568 1270.57 5
144 583.89 1274.52 5
144 583.18 1265.11 5
144 567.99 1266.24 5
144 568.7 1275.66 5
144 583.89 1274.52 5
145 596.59 1280.22 5
145 595.47 1262.15 5
145 584.36 1262.86 5
145 585.48 1280.92 5
145 596.59 1280.22 5
146 609.18 1285.14 5
146 608.48 1280.27 5
146 601.66 1281.21 5
146 602.36 1286.07 5
146 609.18 1285.14 5
147 612.65 1279.4 5
147 612.15 1271.08 5
147 604.36 1271.49 5
147 604.86 1279.8 5
147 612.65 1279.4 5
148 603.58 1278.06 5
148 603.4 1271.18 5
148 605.11 1271.14 5
148 604.87 1261.71 5
148 596.41 1261.91 5
148 596.83 1278.21 5
148 603.58 1278.06 5
149 626.27 1280.41 5
149 625.95 1275.31 5
149 615.41 1276 5
149 615.73 1281.1 5
149 626.27 1280.41 5
150 623.3 1271.93 5
150 622.5 1259.3 5
150 612.91 1259.86 5
150 612.92 1260.3 5
150 605.32 1260.7 5
150 605.76 1270.57 5
150 613.55 1270.16 5
150 613.71 1272.49 5
150 623.3 1271.93 5
151 637.9 1259.16 5
151 624.87 1259.13 5
151 624.88 1274.45 5
151 637.92 1274.47 5
151 637.9 1259.16 5
152 648.25 1258.25 5
152 640.26 1258.32 5
152 640.53 1276.18 5
152 648.51 1276.11 5
152 648.25 1258.25 5
153 604.95 1260.93 5
153 604.6 1254.95 5
153 596.05 1255.37 5
153 596.4 1261.36 5
153 604.95 1260.93 5
154 593.45 1261.42 5
154 593.2 1255.33 5
154 580.28 1255.85 5
154 580.53 1261.95 5
154 593.45 1261.42 5
155 596.68 1253.8 5
155 596.1 1242.27 5
155 583.08 1242.91 5
155 583.66 1254.44 5
155 596.68 1253.8 5
156 618.64 1242.3 5
156 599.23 1241.98 5
156 599.08 1254.74 5
156 618.49 1255.06 5
156 618.64 1242.3 5
157 636.56 1255.08 5
157 636.22 1245.32 5
157 619.02 1245.95 5
157 619.36 1255.71 5
157 636.56 1255.08 5
158 656.79 1276.13 5
158 656.53 1269.59 5
158 649.31 1269.87 5
158 649.57 1276.41 5
158 656.79 1276.13 5
159 663.65 1265.43 5
159 656.8 1265.59 5
159 657.12 1278.01 5
159 663.97 1277.85 5
159 663.65 1265.43 5
160 671.94 1273.66 5
160 671.19 1259.03 5
160 663.5 1259.44 5
160 664.25 1274.07 5
160 671.94 1273.66 5
161 662.67 1264.45 5
161 662.34 1258.8 5
161 654.36 1259.21 5
161 654.69 1264.86 5
161 662.67 1264.45 5
162 653.93 1264.88 5
162 653.48 1258.45 5
162 648.74 1258.79 5
162 649.19 1265.21 5
162 653.93 1264.88 5
163 679.56 1274.15 5
163 678.67 1265.07 5
163 671.84 1265.79 5
163 672.73 1274.87 5
163 679.56 1274.15 5
164 647.04 1255.83 5
164 646.65 1244.19 5
164 637.34 1244.52 5
164 637.73 1256.16 5
164 647.04 1255.83 5
165 656.64 1255.49 5
165 655.84 1242.64 5
165 647.2 1243.18 5
165 648 1256.03 5
165 656.64 1255.49 5
166 673.79 1256.53 5
166 673.24 1242.56 5
166 656.9 1243.17 5
166 657.44 1257.14 5
166 673.79 1256.53 5
167 601.5 1226.83 5
167 596.08 1226.85 5
167 596.26 1241.16 5
167 601.68 1241.14 5
167 601.5 1226.83 5
168 611.09 1241.03 5
168 610.36 1227.07 5
168 602 1227.48 5
168 602.74 1241.45 5
168 611.09 1241.03 5
169 635.58 1242.79 5
169 634.76 1225.6 5
169 611.01 1226.61 5
169 611.68 1241.46 5
169 622.6 1240.98 5
169 622.66 1243.31 5
169 635.58 1242.79 5
170 646.78 1241.63 5
170 645.95 1224.34 5
170 637.21 1224.77 5
170 638.04 1242.06 5
170 646.78 1241.63 5
171 656.25 1240.08 5
171 655.47 1224.45 5
171 647.49 1224.86 5
171 648.27 1240.49 5
171 656.25 1240.08 5
172 668.62 1240.23 5
172 667.46 1224.61 5
172 656.16 1225.43 5
172 657.32 1241.05 5
172 668.62 1240.23 5
173 677.74 1239.9 5
173 676.48 1224.4 5
173 668.23 1225.04 5
173 669.48 1240.54 5
173 677.74 1239.9 5
174 694 1262.27 5
174 680.57 1261.25 5
174 680.15 1267.26 5
174 693.58 1268.27 5
174 694 1262.27 5
175 702.55 1269.39 5
175 702.3 1263.29 5
175 695.56 1263.56 5
175 695.81 1269.66 5
175 702.55 1269.39 5
176 703.22 1261.94 5
176 702.42 1253.08 5
176 694.36 1253.82 5
176 695.15 1262.68 5
176 703.22 1261.94 5
177 684.32 1259.17 5
177 683.36 1243.99 5
177 674.72 1244.52 5
177 675.68 1259.7 5
177 684.32 1259.17 5
178 693.7 1254.39 5
178 693.12 1242.76 5
178 685.05 1243.17 5
178 685.63 1254.81 5
178 693.7 1254.39 5
179 693.96 1260.6 5
179 693.76 1256.61 5
179 686.26 1257.01 5
179 686.46 1261 5
179 693.96 1260.6 5
180 701.05 1251.56 5
180 699.82 1240.6 5
180 693.94 1241.29 5
180 695.17 1252.25 5
180 701.05 1251.56 5
181 695.91 1240.36 5
181 694.7 1226.19 5
181 677.05 1227.71 5
181 678.36 1241.89 5
181 695.91 1240.36 5
182 701.35 1237.35 5
182 700.04 1226.95 5
182 695.02 1227.62 5
182 696.33 1238.02 5
182 701.35 1237.35 5
183 739.55 1236.11 5
183 739.33 1227.35 5
183 702.26 1228.34 5
183 702.49 1237.1 5
183 739.55 1236.11 5
184 744.02 1221.02 5
184 740.12 1221.11 5
184 740.51 1236.2 5
184 744.4 1236.1 5
184 744.02 1221.02 5
185 739.79 1226.56 5
185 739.54 1220.57 5
185 713.03 1221.42 5
185 712.97 1219.43 5
185 702.62 1219.78 5
185 702.92 1227.77 5
185 739.79 1226.56 5
186 742.7 1217.95 5
186 742.41 1209.96 5
186 702.11 1211.25 5
186 702.41 1219.23 5
186 742.7 1217.95 5
187 710.58 1252.22 5
187 705.23 1251.35 5
187 703.59 1261.48 5
187 708.93 1262.36 5
187 710.58 1252.22 5
188 705.3 1250.57 5
188 704.02 1241.17 5
188 700.61 1241.58 5
188 701.89 1250.98 5
188 705.3 1250.57 5
189 710.54 1239.57 5
189 706.44 1239.33 5
189 705.75 1249.34 5
189 709.84 1249.57 5
189 710.54 1239.57 5
190 719.75 1246.56 5
190 710.7 1245.78 5
190 710.27 1251.23 5
190 719.32 1252.01 5
190 719.75 1246.56 5
191 730.05 1240.11 5
191 719.97 1240.23 5
191 720.17 1251.66 5
191 730.25 1251.53 5
191 730.05 1240.11 5
192 734.9 1254.86 5
192 721.13 1252.19 5
192 720.63 1254.98 5
192 711.36 1253.2 5
192 709.77 1261.56 5
192 732.71 1266.01 5
192 734.9 1254.86 5
193 745.16 1254.5 5
193 735.53 1253.51 5
193 734 1268.09 5
193 743.63 1269.08 5
193 745.16 1254.5 5
194 738.15 1251.79 5
194 737.96 1248.13 5
194 730.83 1248.41 5
194 731.02 1252.07 5
